終結日期,性別,裁判結果代碼,有期年月(月份顯示),被告罪名
103,1,3,6,其他
100,1,9,,其他
104,1,F,,其他
103,1,F,,其他
101,2,B,,其他
101,1,3,6,其他
104,1,4,,其他
103,1,3,2,其他
104,1,4,,其他
104,1,4,,其他
100,1,4,,其他
100,1,B,,其他
100,1,B,,其他
104,1,3,46,公共危險罪
104,1,3,24,公共危險罪
102,1,3,6,公共危險罪
100,1,3,98,妨害性自主罪
100,1,B,,妨害性自主罪
101,1,3,7,妨害性自主罪
100,1,3,44,妨害性自主罪
100,1,3,96,妨害性自主罪
100,,3,20,妨害性自主罪
100,1,9,,妨害性自主罪
100,1,3,24,妨害性自主罪
101,1,3,20,妨害性自主罪
101,1,3,66,妨害性自主罪
101,1,3,78,妨害性自主罪
102,1,3,46,妨害性自主罪
103,1,B,,妨害性自主罪
100,,3,48,妨害性自主罪
100,,3,102,妨害性自主罪
102,,3,48,妨害性自主罪
102,,B,,妨害性自主罪
102,1,3,54,妨害性自主罪
102,1,9,,妨害性自主罪
103,1,3,102,妨害性自主罪
103,1,9,,妨害性自主罪
102,,3,10,妨害性自主罪
102,,3,12,妨害性自主罪
102,,3,54,妨害性自主罪
100,,B,,妨害性自主罪
102,1,3,42,妨害性自主罪
102,1,3,90,妨害性自主罪
102,1,9,,妨害性自主罪
100,1,3,7,妨害性自主罪
100,1,3,38,妨害性自主罪
100,1,3,38,妨害性自主罪
100,1,3,86,妨害性自主罪
102,1,3,42,妨害性自主罪
102,1,3,54,妨害性自主罪
102,1,9,,妨害性自主罪
102,1,3,24,妨害性自主罪
102,1,3,50,妨害性自主罪
102,1,3,94,妨害性自主罪
101,1,3,20,妨害性自主罪
101,1,3,48,妨害性自主罪
101,1,3,54,妨害性自主罪
101,1,3,60,妨害性自主罪
101,1,3,108,妨害性自主罪
101,1,3,114,妨害性自主罪
102,1,3,12,妨害性自主罪
102,1,3,60,妨害性自主罪
104,1,3,40,妨害性自主罪
102,1,3,10,妨害性自主罪
102,1,3,21,妨害性自主罪
102,1,3,2,妨害性自主罪
101,,3,8,妨害性自主罪
101,,3,10,妨害性自主罪
101,1,3,18,妨害性自主罪
102,1,3,10,妨害性自主罪
102,1,3,7,妨害性自主罪
102,1,3,24,妨害性自主罪
102,1,3,42,妨害性自主罪
101,,3,38,妨害性自主罪
101,,3,86,妨害性自主罪
104,1,3,42,妨害性自主罪
104,1,3,14,妨害性自主罪
102,1,3,24,妨害性自主罪
101,1,3,62,妨害性自主罪
101,1,3,96,妨害性自主罪
101,1,9,,妨害性自主罪
104,1,3,94,妨害性自主罪
102,1,3,38,妨害性自主罪
102,1,3,38,妨害性自主罪
102,1,3,40,妨害性自主罪
101,1,3,20,妨害性自主罪
101,1,3,20,妨害性自主罪
101,1,3,42,妨害性自主罪
101,1,3,48,妨害性自主罪
102,1,3,18,妨害性自主罪
102,1,3,46,妨害性自主罪
102,1,9,,妨害性自主罪
103,1,3,48,妨害性自主罪
103,1,3,40,妨害性自主罪
103,1,3,46,妨害性自主罪
103,1,3,54,妨害性自主罪
102,1,3,10,妨害性自主罪
102,1,B,,妨害性自主罪
102,1,3,96,妨害性自主罪
102,,3,12,妨害性自主罪
102,,3,16,妨害性自主罪
103,1,3,8,妨害性自主罪
101,1,3,32,妨害性自主罪
102,1,3,12,妨害性自主罪
102,1,3,34,妨害性自主罪
103,1,3,17,妨害性自主罪
104,1,3,36,殺人罪
104,2,3,46,殺人罪
102,1,9,,殺人罪
102,1,9,,殺人罪
102,1,3,96,殺人罪
102,1,3,64,殺人罪
104,1,3,66,殺人罪
103,1,3,84,殺人罪
103,1,3,24,殺人罪
100,1,3,36,殺人罪
101,1,3,6,殺人罪
103,1,3,180,殺人罪
102,1,3,180,殺人罪
103,1,2,,殺人罪
103,2,3,10,殺人罪
104,1,3,34,殺人罪
100,1,3,156,殺人罪
